,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Lagos,6.454066,3.3946730000000005,Nigeria,NG,Lagos,minor,9466000.0,1536.0
1,Kano,12.002381,8.513160000000001,Nigeria,NG,Kano,admin,3140000.0,3140000.0
2,Ibadan,7.377561999999999,3.905907,Nigeria,NG,Oyo,admin,2628000.0,1814570.0
3,Abuja,9.083333,7.533333,Nigeria,NG,Federal Capital Territory,primary,1576000.0,162135.0
4,Kaduna,10.526413,7.438795,Nigeria,NG,Kaduna,admin,1442000.0,940593.0
5,Benin City,6.338153,5.625749,Nigeria,NG,Edo,admin,1190000.0,668026.0
6,Ikare,7.525913,5.753417,Nigeria,NG,Ondo,minor,1099931.0,700000.0
7,Port Harcourt,4.777423000000001,7.0134039999999995,Nigeria,NG,Rivers,admin,1020000.0,1020000.0
8,Ogbomoso,8.133725,4.240144,Nigeria,NG,Oyo,minor,951000.0,239127.0
9,Aba,5.1065760000000004,7.366667,Nigeria,NG,Abia,minor,897560.0,851210.0
10,Maiduguri,11.846924000000001,13.157122,Nigeria,NG,Borno,admin,896000.0,512460.0
11,Zaria,11.078945,7.7103589999999995,Nigeria,NG,Kaduna,minor,889000.0,620673.0
12,Warri,5.51737,5.750064,Nigeria,NG,Delta,minor,830106.0,536023.0
13,Jos,9.92849,8.892118,Nigeria,NG,Plateau,admin,816824.0,657313.0
14,Ilorin,8.496642,4.542143,Nigeria,NG,Kwara,admin,771000.0,632484.0
15,Oyo,7.852575,3.9312489999999998,Nigeria,NG,Oyo,minor,736072.0,213961.0
16,Sokoto,13.048025,5.214285,Nigeria,NG,Sokoto,,732178.0,563861.0
17,Enugu,6.441321,7.4988339999999996,Nigeria,NG,Enugu,admin,688862.0,688862.0
18,Abeokuta,7.155710000000001,3.3450860000000002,Nigeria,NG,Ogun,admin,593100.0,289362.0
19,Uyo,5.033333,7.92657,Nigeria,NG,Akwa Ibom,admin,554906.0,436606.0
20,Awka,6.21269,7.071986,Nigeria,NG,Anambra,admin,500000.0,301657.0
21,Ile-Ife,7.482405,4.560324,Nigeria,NG,Osun,minor,482365.0,482365.0
22,Calabar,4.958931,8.32695,Nigeria,NG,Cross River,admin,461796.0,247517.0
23,Ado-Ekiti,7.623289,5.22087,Nigeria,NG,Ekiti,admin,446749.0,446749.0
24,Katsina,12.990822999999999,7.601769,Nigeria,NG,Katsina,admin,432149.0,432149.0
25,Akure,7.252560000000001,5.193118,Nigeria,NG,Ondo,admin,420594.0,420594.0
26,Osogbo,7.771045,4.556979,Nigeria,NG,Osun,admin,408245.0,408245.0
27,Bauchi,10.310321,9.843883,Nigeria,NG,Bauchi,admin,316149.0,172552.0
28,Mele,5.889151999999999,5.701355,Nigeria,NG,Delta,,309162.0,161686.0
29,Makurdi North,7.7493,8.5508,Nigeria,NG,Benue,,292645.0,198090.0
30,Minna,9.615235,6.54776,Nigeria,NG,Niger,admin,291905.0,206171.0
31,Owo,7.1961949999999995,5.586806,Nigeria,NG,Ondo,minor,276574.0,125250.0
32,Gombe,10.28969,11.167288000000001,Nigeria,NG,Gombe,admin,270366.0,250258.0
33,Umuahia,5.524913,7.494613,Nigeria,NG,Abia,admin,264662.0,264662.0
34,Ondo,7.093164999999999,4.835277,Nigeria,NG,Ondo,minor,257005.0,255883.0
35,Damaturu,11.746967999999999,11.960825999999999,Nigeria,NG,Yobe,admin,255895.0,255895.0
36,Iwo,7.635267999999999,4.181556,Nigeria,NG,Osun,minor,250443.0,166934.0
37,Gusau,12.17024,6.664116,Nigeria,NG,Zamfara,admin,226857.0,144993.0
38,Mubi,10.268585,13.267013,Nigeria,NG,Adamawa,minor,225705.0,203715.0
39,Owerri,5.483626,7.0332479999999995,Nigeria,NG,Imo,admin,215038.0,215038.0
40,Ijebu-Ode,6.819444,3.917311,Nigeria,NG,Ogun,minor,209175.0,199827.0
41,Funtua,11.523505,7.311744,Nigeria,NG,Katsina,minor,180475.0,136811.0
42,Bida,9.080442,6.009901999999999,Nigeria,NG,Niger,minor,173849.0,171656.0
43,Lafia,8.493897,8.515316,Nigeria,NG,Nasarawa,admin,127236.0,31705.0
44,Gashua,12.873975999999999,11.040567999999999,Nigeria,NG,Yobe,minor,125817.0,23834.0
45,Buzawa,11.545361999999999,13.684517999999999,Nigeria,NG,Borno,,118121.0,54699.0
46,Jalingo,8.893668,11.359596,Nigeria,NG,Taraba,admin,117757.0,89789.0
47,Nsukka,6.856542999999999,7.3859770000000005,Nigeria,NG,Enugu,minor,111017.0,111017.0
48,Nguru,12.876952000000001,10.455361,Nigeria,NG,Yobe,minor,111014.0,53948.0
49,Birnin Kebbi,12.453889,4.1975,Nigeria,NG,Kebbi,admin,108164.0,96517.0
50,Azare,11.674783,10.190686999999999,Nigeria,NG,Bauchi,minor,105687.0,70138.0
51,Kontagora,10.403189,5.470797,Nigeria,NG,Niger,minor,98754.0,25534.0
52,Iseyin,7.970219999999999,3.596256,Nigeria,NG,Oyo,minor,98071.0,98071.0
53,Yola,9.208394,12.481464,Nigeria,NG,Adamawa,admin,96006.0,88500.0
